loss,root_mean_squared_error,val_loss,val_root_mean_squared_error,Epoch,Modell
0.0007556119817309082,0.02748839743435383,0.0016589636215940118,0.04073037579655647,1,Modell 1
0.00011648855434032157,0.010792986489832401,0.00036161422031000257,0.01901615597307682,2,Modell 1
0.00010372051474405453,0.010184327140450478,0.0004150656168349087,0.020373160019516945,3,Modell 1
0.00010834627028089017,0.01040895190089941,0.0006386720342561603,0.025271961465477943,4,Modell 1
9.479907021159306e-05,0.009736481122672558,0.00042498792754486203,0.020615234971046448,5,Modell 1
7.062306394800544e-05,0.00840375293046236,0.0003270382876507938,0.018084200099110603,6,Modell 1
7.198166713351384e-05,0.008484200574457645,0.00029692769749090075,0.017231589183211327,7,Modell 1
6.458876305259764e-05,0.008036713115870953,0.00041820574551820755,0.020450079813599586,8,Modell 1
6.212845619302243e-05,0.007882161065936089,0.00031199882505461574,0.017663488164544106,9,Modell 1
6.330083851935342e-05,0.007956182584166527,0.0003517955483403057,0.018756212666630745,10,Modell 1
5.585108738159761e-05,0.007473358418792486,0.0005244856583885849,0.02290165238082409,11,Modell 1
5.3738243877887726e-05,0.00733063742518425,0.000301471387501806,0.0173629317432642,12,Modell 1
0.0007821967592462897,0.027967780828475952,0.0030732934828847647,0.05543729290366173,1,Modell 2
0.00017684686463326216,0.013298378325998783,0.0006166434613987803,0.024832306429743767,2,Modell 2
0.00010667247988749295,0.01032823696732521,0.0003587925748433918,0.01894182153046131,3,Modell 2
0.00010465971718076617,0.010230333544313908,0.00041762623004615307,0.02043590508401394,4,Modell 2
8.972426439868286e-05,0.009472289122641087,0.0004014323349110782,0.020035777240991592,5,Modell 2
9.288149158237502e-05,0.009637504816055298,0.0005054262583144009,0.022481687366962433,6,Modell 2
8.578714914619923e-05,0.00926213525235653,0.00033027780591510236,0.018173547461628914,7,Modell 2
9.193433652399108e-05,0.009588239714503288,0.0004671953502111137,0.02161470241844654,8,Modell 2
8.191345841623843e-05,0.009050605818629265,0.00030011316994205117,0.017323775216937065,9,Modell 2
7.490822463296354e-05,0.00865495391190052,0.0006308207521215081,0.025116145610809326,10,Modell 2
7.213262870209292e-05,0.008493092842400074,0.000372494658222422,0.019300119951367378,11,Modell 2
7.182642730185762e-05,0.008475047536194324,0.000286615191726014,0.016929714009165764,12,Modell 2
6.652084266534075e-05,0.008156031370162964,0.0002895713842008263,0.01701679639518261,13,Modell 2
6.947103247512132e-05,0.008334928192198277,0.0003467376227490604,0.018620891496539116,14,Modell 2
5.9597427025437355e-05,0.007719936780631542,0.0002724253572523594,0.01650531217455864,15,Modell 2
5.640997915179469e-05,0.007510657887905836,0.00026944265118800104,0.016414707526564598,16,Modell 2
5.59495274501387e-05,0.007479941472411156,0.000313740165438503,0.017712712287902832,17,Modell 2
5.444632188300602e-05,0.007378775160759687,0.0002627671346999705,0.016210094094276428,18,Modell 2
5.2228020649636164e-05,0.0072268955409526825,0.00030615500872954726,0.017497286200523376,19,Modell 2
5.565246829064563e-05,0.0074600582011044025,0.0002844884875230491,0.016866786405444145,20,Modell 2
0.0014294198481366038,0.03780766949057579,0.0025997250340878963,0.050987496972084045,1,Modell 3
0.00032254852703772485,0.017959635704755783,0.0066347671672701836,0.0814540833234787,2,Modell 3
0.0001992782054003328,0.014116593636572361,0.0012666109250858426,0.03558947890996933,3,Modell 3
0.000111178400402423,0.010544116608798504,0.0004429797118064016,0.021047083660960197,4,Modell 3
9.249634604202583e-05,0.009617501869797707,0.00036978936986997724,0.019229907542467117,5,Modell 3
9.798098471947014e-05,0.009898534044623375,0.00038555555511265993,0.01963556930422783,6,Modell 3
9.114327986026183e-05,0.009546899236738682,0.0005763947265222669,0.024008221924304962,7,Modell 3
9.183983638649806e-05,0.009583310224115849,0.0005487592425197363,0.02342561073601246,8,Modell 3
9.890684304991737e-05,0.009945192374289036,0.0004347209760453552,0.020849963650107384,9,Modell 3
8.14376471680589e-05,0.009024281054735184,0.00040428535430692136,0.02010684832930565,10,Modell 3
0.0007484693196602166,0.027358166873455048,0.0024554270785301924,0.04955226555466652,1,Modell 4
0.00017390924040228128,0.013187465257942677,0.0004685468156822026,0.021645942702889442,2,Modell 4
0.00014873757027089596,0.012195801362395287,0.0006273312028497458,0.025046581402420998,3,Modell 4
0.00012052218517055735,0.010978260077536106,0.00035281202872283757,0.018783291801810265,4,Modell 4
0.00012292200699448586,0.011087019927799702,0.00038294910336844623,0.01956908591091633,5,Modell 4
0.00010097099584527314,0.010048432275652885,0.0009778753155842423,0.03127099946141243,6,Modell 4
9.765881986822933e-05,0.009882248006761074,0.00042664119973778725,0.020655294880270958,7,Modell 4
9.332623449154198e-05,0.009660550393164158,0.00038548960583284497,0.019633889198303223,8,Modell 4
9.065269841812551e-05,0.00952117145061493,0.0002996050752699375,0.017309103161096573,9,Modell 4
7.021097553661093e-05,0.008379198610782623,0.0003060584422200918,0.017494525760412216,10,Modell 4
6.527145887957886e-05,0.008079075254499912,0.0005190231604501605,0.022782079875469208,11,Modell 4
7.135021587600932e-05,0.008446905761957169,0.0003038562717847526,0.0174314733594656,12,Modell 4
5.816652628709562e-05,0.007626698352396488,0.0002611457312013954,0.01616000384092331,13,Modell 4
6.901577580720186e-05,0.00830757338553667,0.0004050227871630341,0.02012517862021923,14,Modell 4
6.126330117695034e-05,0.007827087305486202,0.0003627077676355839,0.019044889137148857,15,Modell 4
6.400998245226219e-05,0.008000623434782028,0.00033949967473745346,0.01842551678419113,16,Modell 4
6.576040323125198e-05,0.008109278976917267,0.0002491409541107714,0.01578420028090477,17,Modell 4
5.8403031289344653e-05,0.0076421876437962055,0.0002657411096151918,0.01630156859755516,18,Modell 4
5.743706424254924e-05,0.007578724529594183,0.00027392659103497863,0.01655072718858719,19,Modell 4
4.954827090841718e-05,0.007039053365588188,0.0004500416689552367,0.021214185282588005,20,Modell 4
0.0011874624760821462,0.03445957601070404,0.009589174762368202,0.09792432934045792,1,Modell 5
0.00023059867089614272,0.01518547534942627,0.0010333670070394874,0.03214602544903755,2,Modell 5
0.00015955718117766082,0.012631594203412533,0.0008653424447402358,0.029416702687740326,3,Modell 5
0.0001413752033840865,0.011890130117535591,0.00045815474004484713,0.021404549479484558,4,Modell 5
0.00013950871652923524,0.011811381205916405,0.0008878001826815307,0.029795976355671883,5,Modell 5
